Land;GDP
Albania;15059
Algeria;173757
Angola;105902
Argentina;519487
Armenia;12433
Australia;142005
Austria;456166
Bahamas;46940
Bangladesh;288424
Barbados;5087
Belarus;59643
Belgium;532268
Belize;1925
Bermuda;14269
Bolivia;40581
Bosnia and Herzegovina;20162
Botswana;18615
Brazil;186782
Bulgaria;65197
Cambodia;24444
Cameroon;38712
Canada;171248
Chile;298180
China;1336807
Colombia;330974
Congo;1184
Costa Rica;60464
Croatia;60805
Cuba;60805
Cyprus;24493
Czech Republic;245226
Denmark;352058
Ecuador;108398
Egypt;249559
El Salvador;26057
Estonia;30761
Ethiopia;80289
Fiji;5524
Finland;274210
France;278015
French Polynesia;278015
Gambia;16875
Georgia;16209
Germany;395134
Ghana;65518
Greece;218230
Grenada;1185
Guatemala;78461
Guinea;12099
Honduras;23803
Hong Kong SAR. China;362721
Hungary;161182
Iceland;25965
India;271873
Indonesia;102245
Iran;102245
Ireland;382754
Israel;370588
Italy;207586
Jamaica;15461
Japan;497177
Jordan;42291
Kazakhstan;172941
Kenya;87928
Kuwait;141646
Latvia;34882
Liberia;3248
Lithuania;53302
Luxembourg;69553
Macedonia;54545
Madagascar;12090
Malawi;6901
Malaysia;358579
Maldives;5328
Malta;14560
Mauritius;14210
Mexico;122205
Morocco;118534
Mozambique;14396
Myanmar;68668
Namibia;14513
Nepal;29040
Netherlands;914519
New Caledonia;914519
New Zealand;203127
Nicaragua;13118
Niger;9299
Nigeria;398186
Norway;434167
Oman;79277
Pakistan;314588
Panama;65055
Paraguay;41854
Peru;225366
Philippines;330910
Poland;585816
Portugal;240901
Romania;239552
Russia;165729
Rwanda;9510
Saudi Arabia;786522
Senegal;23498
Serbia;50509
Sierra Leone;4082
Slovakia;106573
Slovenia;54059
South Africa;368135
South Korea;368135
Spain;142753
Sri Lanka;88901
Swaziland;3427
Sweden;556073
Switzerland;705546
Taiwan. ROC;589906
Tanzania;56852
Thailand;504928
Togo;5358
Trinidad and Tobago;22525
Tunisia;39895
Turkey;771274
Uganda;28116
Ukraine;130857
United Arab Emirates;414179
United Kingdom;282883
Uruguay;59651
USA;59651
Venezuela;98437
Vietnam;241272
Zambia;26720
Zimbabwe;20997
